samediff,task1v2,task2v3,task3v4,task4v5,task5v6,task8v9,task9v10,task10v11
1,0,0,3,0,0,0,0,0
4,0,1,2,0,0,0,0,1
39,0,0,6,0,0,1,0,0
190,0,1,43,1,2,2,2,1
734,3,4,158,13,0,2,11,5
1968,26,26,497,27,32,32,21,32
4356,97,80,1278,73,85,78,92,93
7250,234,220,2736,227,236,206,258,255
10125,487,465,4805,428,502,424,546,558
11620,793,760,7035,718,811,687,959,913
11238,1153,1088,8780,1064,1169,951,1235,1244
9759,1367,1363,9330,1275,1483,1183,1480,1551
7791,1242,1338,8573,1406,1457,1227,1537,1601
6735,1197,1301,7037,1258,1249,1102,1445,1389
5816,963,1044,5462,1000,1059,956,1104,1092
4785,773,810,4103,816,785,753,820,825
3244,602,652,3549,635,594,613,595,555
NaN,506,509,3410,532,489,578,495,430
NaN,501,504,4020,518,471,572,341,345
NaN,577,547,5494,607,492,670,381,360
NaN,660,642,9334,720,566,875,415,389
