samediff,task1v2,task2v3,task3v4,task4v5,task5v6,task8v9,task9v10,task10v11
1,0,0,2,0,0,0,0,0
1,0,1,1,0,0,0,0,0
8,0,0,3,0,0,1,0,0
54,0,0,15,0,1,1,1,1
204,0,0,49,2,0,1,3,2
558,5,11,128,12,12,8,6,7
1268,25,21,339,19,23,27,28,20
1992,66,64,729,67,70,53,83,74
2903,126,136,1370,124,142,132,156,151
3283,212,228,2023,192,259,182,257,278
3278,356,320,2455,283,347,274,349,360
2863,407,372,2656,365,458,339,417,472
2372,370,366,2384,384,398,373,417,476
2204,365,364,2007,344,362,301,456,407
2009,268,285,1670,270,312,266,357,333
1606,227,240,1220,263,219,228,256,233
1154,167,208,1047,183,184,190,178,172
NaN,142,173,1069,165,157,186,140,140
NaN,178,162,1331,176,142,182,109,108
NaN,191,182,1930,206,148,216,122,105
NaN,240,220,3330,252,195,267,133,134
