samediff,task1v2,task2v3,task3v4,task4v5,task5v6,task8v9,task9v10,task10v11
0,0,0,1,0,0,0,0,0
3,0,0,1,0,0,0,0,1
31,0,0,3,0,0,0,0,0
136,0,1,28,1,1,1,1,0
530,3,4,109,11,0,1,8,3
1410,21,15,369,15,20,24,15,25
3088,72,59,939,54,62,51,64,73
5258,168,156,2007,160,166,153,175,181
7222,361,329,3435,304,360,292,390,407
8337,581,532,5012,526,552,505,702,635
7960,797,768,6325,781,822,677,886,884
6896,960,991,6674,910,1025,844,1063,1079
5419,872,972,6189,1022,1059,854,1120,1125
4531,832,937,5030,914,887,801,989,982
3807,695,759,3792,730,747,690,747,759
3179,546,570,2883,553,566,525,564,592
2090,435,444,2502,452,410,423,417,383
NaN,364,336,2341,367,332,392,355,290
NaN,323,342,2689,342,329,390,232,237
NaN,386,365,3564,401,344,454,259,255
NaN,420,422,6004,468,371,608,282,255
