samediff,task1v2,task2v3,task3v4,task4v5,task5v6,task8v9,task9v10,task10v11
0.5625,NA,NA,0.55,NA,NA,NA,NA,0.6
0.375,NA,NA,0.4,NA,0.45,NA,NA,NA
0.5,NA,NA,0.6,NA,NA,NA,NA,0.7
0.5,NA,NA,0.65,NA,NA,NA,NA,0.25
0.4375,NA,NA,0.7,NA,0.4,NA,NA,NA
0.4375,NA,0.45,0.7,NA,NA,NA,NA,NA
0.75,NA,NA,1,NA,NA,1,NA,NA
0.5,NA,NA,0.6,NA,NA,0.75,NA,NA
0.4375,NA,NA,0.3,NA,NA,0.5,NA,NA
0.5625,0.55,NA,0.5,NA,NA,NA,NA,NA
0.5625,0.55,NA,0.5,NA,NA,NA,NA,NA
0.5,NA,NA,0.4,NA,NA,NA,NA,0.5
0.6875,NA,NA,0.4,NA,NA,0.45,NA,NA
0.5625,NA,NA,0.4,NA,NA,NA,NA,0.45
0.6875,NA,NA,0.2,NA,NA,0.55,NA,NA
0.3125,NA,NA,0.35,NA,NA,0.65,NA,NA
0.3125,NA,NA,0.55,NA,NA,NA,NA,0.5
0.625,NA,NA,0.5,NA,0.6,NA,NA,NA
0.5,NA,NA,0.5,NA,NA,0.55,NA,NA
0.625,NA,NA,0.5,NA,NA,0.5,NA,NA
0.4375,NA,NA,0.45,0.35,NA,NA,NA,NA
0.5625,0.3,NA,0.5,NA,NA,NA,NA,NA
0.4375,NA,0.35,0.3,NA,NA,NA,NA,NA
0.375,NA,NA,0.55,0.4,NA,NA,NA,NA
0.5625,NA,NA,0.5,NA,NA,NA,0.6,NA
0.75,NA,0.7,0.9,NA,NA,NA,NA,NA
0.6875,0.55,NA,0.65,NA,NA,NA,NA,NA
0.625,NA,NA,0.55,0.3,NA,NA,NA,NA
0.3125,0.45,NA,0.75,NA,NA,NA,NA,NA
0.6875,NA,0.5,0.25,NA,NA,NA,NA,NA
0.625,NA,NA,0.7,NA,NA,0.5,NA,NA
0.375,NA,NA,0.45,0.65,NA,NA,NA,NA
0.5625,NA,NA,0.65,NA,0.7,NA,NA,NA
0.3125,NA,NA,0.4,NA,NA,0.5,NA,NA
0.5625,NA,NA,0.45,NA,NA,0.65,NA,NA
0.5625,NA,NA,0.45,NA,0.55,NA,NA,NA
0.5,NA,0.75,0.25,NA,NA,NA,NA,NA
0.75,NA,0.45,0.35,NA,NA,NA,NA,NA
0.375,NA,NA,0.5,NA,NA,NA,0.75,NA
0.25,NA,NA,0.65,NA,0.4,NA,NA,NA
0.5,NA,NA,0.5,0.25,NA,NA,NA,NA
