United States,Canada,United Kingdom,Germany,Australia,Spain,Argentina,Mexico,France,China,Russia,Turkey,Chile,Sweden,Italy,The Netherlands,India,Brazil,Poland,Colombia
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,3,1,1,0,2,1,1,2,0,1,0,0,0,0,0,1,0,0,0
64,11,7,4,4,6,3,1,3,3,1,2,5,1,2,1,2,1,4,3
198,33,24,9,8,5,18,8,10,8,8,14,5,6,7,7,9,8,2,5
503,67,62,46,34,36,28,28,27,22,33,28,10,22,11,18,12,14,21,13
1019,178,149,95,73,71,53,59,44,61,55,66,34,28,39,25,46,44,31,31
1826,330,206,189,130,128,128,102,80,85,94,103,54,46,59,47,72,64,49,49
2608,475,351,259,218,170,173,168,120,128,125,169,71,86,100,94,134,89,65,95
3337,575,438,320,276,237,208,193,159,178,155,159,107,119,106,96,139,95,79,80
3575,560,491,331,253,258,247,219,182,171,153,190,102,116,115,100,145,102,91,109
3284,532,423,310,241,251,212,203,183,140,162,163,105,107,99,109,113,94,93,78
2772,449,401,264,221,163,181,144,149,115,126,132,89,91,67,84,87,75,64,52
2180,358,282,209,155,149,153,127,134,67,90,87,65,70,73,66,54,50,50,36
1668,284,250,148,109,118,86,86,97,46,67,46,54,53,39,66,30,46,39,37
1436,250,202,153,96,87,89,73,88,50,47,42,69,42,41,47,28,29,35,25
1425,217,209,134,122,99,81,74,63,43,41,38,58,48,37,33,21,35,33,25
1632,248,246,157,159,117,85,72,75,76,40,24,59,39,45,44,16,35,36,27
2290,330,321,225,200,138,116,90,113,88,66,40,70,86,65,60,27,31,58,40
3923,572,553,346,317,206,202,129,199,177,110,41,143,113,124,102,47,53,67,60
