allNames,allDipsFromData,allPs
English,0.0308224051381177,0
Spanish,0.0209444064115806,0
German,0.0310560509657622,0
French,0.0261806288155529,0
Russian,0.0225372963341239,0
Chinese/Mandarin,0.0564268233476478,0
Turkish,0.00699529442565173,0.9595
Portuguese,0.0175436244180592,0.0051
Italian,0.0320394358470668,0
Dutch,0.0209233894709129,0.0027
Swedish,0.0395702903201936,0
Polish,0.0229867491189059,0.0017
Chinese/Cantonese/Yue,0.0428387148841859,0
Finnish,0.0413513524328171,0
Norwegian,0.0428561516852015,0
Indonesian,0.0476782087597655,0
Greek,0.0374052311641236,0.0004
Hindi,0.0184991603009326,0.44
Tagalog,0.0138162002946499,0.9037
Korean,0.0257826896627466,0.0551
