user_id,nativeLang,task3v4
10000,Greek,1
100013,English,1
100014,Tamil,0.35
100017,English,0.45
10002,English,0.55
100021,Turkish,0.55
100022,Russian,0.7
100023,English,0.65
100026,English,0.75
100032,English,0.8
100044,English,0.75
100048,English,0.75
10005,English,0.45
100052,Greek,0.5
100056,English,0.3
100059,English,0.55
100065,Romanian,0.55
100073,Malay,0.65
100076,English,0.7
100078,English,1
100080,English,0.6
10010,English,0.55
100103,Greek,0.45
100104,Swedish,0.4
100106,English,0.95
100111,English,0.65
100114,English,0.45
100115,English,0.85
100124,Swedish,0.95
100129,English,0.55
10013,English,0.55
100132,Swedish,0.9
100134,English,0.45
100138,English,0.6
10014,Norwegian,0.4
100148,English,0.45
100150,English,0.55
100156,English,0.95
100157,English,0.5
100159,English,0.4
10016,English,1
100162,Spanish,0.55
100163,English,0.85
100164,English,0.4
100172,English,0.75
100185,English,0.45
100191,English,0.7
100212,English,0.6
100215,English,0.55
100217,English,0.45
100223,English,0.75
100226,Finnish,0.95
100229,Indonesian,0.95
100231,English,0.4
100234,English,0.7
100235,English,0.5
100239,English,1
100248,German,0.55
100251,German,0.6
100257,English,0.45
100259,Korean,0.8
100261,German,0.5
100270,English,0.65
100279,English,0.45
10028,English,0.5
100295,English,0.9
100296,German,0.45
1003,English,0.5
100302,English,0.65
100307,English,0.7
100309,English,0.35
10031,Greek,0.65
100310,English,0.55
100317,English,0.95
100321,English,0.6
100323,Dutch,0.45
100339,English,1
100343,English,0.6
100357,English,0.45
100359,English,1
10036,Russian,0.5
100362,Swedish,0.75
100363,English,0.45
100364,English,0.9
100366,Turkish,0.45
100367,English,0.5
100368,English,0.95
100373,English,0.7
100374,French,0.9
100378,Indonesian,0.55
100382,English,0.5
100388,French,0.9
100399,Vietnamese,0.35
100402,English,0.85
100406,English,0.65
10041,English,0.55
100415,English,0.55
10042,Italian,0.6
100423,Hebrew,0.5
100429,English,0.55
10043,French,0.55
100431,Chinese/Cantonese/Yue,0.65
100432,German,0.6
100440,English,0.5
100444,English,0.8
100445,English,0.55
100446,English,0.8
100449,Dutch,0.7
10045,English,0.6
100465,English,0.75
100467,English,0.9
100468,English,0.6
100475,English,0.75
10048,English,0.4
100480,English,1
100483,French,1
100488,English,1
100500,Spanish,0.55
100502,English,0.9
100509,English,0.9
100510,English,0.6
100511,English,0.5
100513,English,0.6
100520,English,0.25
100532,English,0.6
10054,English,1
100543,English,0.65
100544,Dutch,0.5
100546,English,0.45
100554,English,0.85
100557,English,0.6
100558,English,0.7
10056,English,0.55
100560,English,0.35
100561,English,0.95
100566,English,1
100570,Chinese/Mandarin,0.5
100577,German,0.35
100584,English,1
100588,English,0.6
100594,English,1
100606,Portuguese,0.5
10062,Turkish,0.7
100626,English,0.5
10063,English,0.95
100634,English,0.7
100635,English,1
100637,English,1
100642,Chinese/Cantonese/Yue,0.4
100647,English,0.6
100652,English,0.8
100653,English,0.55
100654,English,0.95
100662,English,0.4
100667,Korean,1
100669,German,0.55
100674,English,0.5
100675,French,0.75
100681,English,0.85
100683,English,0.5
100686,English,0.95
100687,Tagalog,0.45
100691,English,0.55
100692,English,0.65
100696,Croatian,0.65
100705,English,0.45
100706,English,0.55
100716,Romanian,0.6
100721,Spanish,0.4
100724,English,0.3
100726,English,0.7
100727,English,0.45
100731,English,1
100746,English,0.55
100751,English,0.55
100757,Albanian,0.5
100764,Croatian,0.5
100766,English,1
100781,English,0.85
100788,English,0.5
10079,English,0.5
100792,German,0.65
100793,Dutch,0.6
100794,German,0.7
100796,Swedish,0.75
100803,English,0.75
100809,English,0.6
10081,English,0.75
100817,English,0.5
10082,English,0.65
100822,English,0.6
100828,English,0.85
10083,English,1
100841,English,0.5
