noLessons,0-1yr,1-2yrs,2-4yrs,4-6yrs,6-10yrs,>10yrs
3,0,0,0,0,0,0
0,1,0,1,0,0,0
3,0,0,0,0,3,0
15,5,3,6,5,4,3
68,13,24,13,11,15,10
218,60,58,45,45,37,16
530,135,159,100,127,108,66
1251,308,282,235,190,231,140
2057,567,552,449,381,436,232
3010,788,782,633,594,634,371
3767,952,1025,852,724,733,447
3897,1046,1043,953,822,760,517
3561,907,980,903,815,692,479
2591,790,916,759,757,538,482
1857,616,661,649,631,452,440
1188,440,532,543,587,291,402
853,372,483,518,588,213,424
628,344,451,503,661,200,535
613,331,514,634,874,212,753
663,403,592,776,1274,272,1383
988,556,902,1246,2173,357,2900
