"user_id","country"
237085,"Chile"
237086,"Andorra"
237089,"Singapore"
237090,"United States"
237104,"United States"
237105,"United States"
237106,"Canada"
237113,"Singapore"
237114,"United States"
237117,"United States"
237120,"United States"
237125,"Australia"
237127,"United States"
237135,"Argentina"
237139,"Colombia"
237145,"Poland"
237156,"Australia"
237159,"China"
237184,"Germany"
237186,"United States"
237187,"Canada"
237195,"United Kingdom"
237196,"Singapore"
237201,"United States"
237202,"Germany"
237204,"Russia"
237220,"United States"
237227,"India"
237230,"United States"
237232,"United States"
237234,"United States"
237238,"United States"
237240,"Finland"
237243,"United States"
237251,"Belgium"
237257,"United Kingdom"
237259,"Denmark"
237263,"Portugal"
237265,"United Kingdom"
237270,"Canada"
237271,"Croatia"
237272,"Germany"
237286,"Italy"
237288,"Colombia"
237290,"Italy"
237292,"United States"
237296,"Italy"
237302,"United States"
237303,"United States"
237306,"United States"
237310,"Russia"
237311,"United States"
237312,"United States"
237315,"United Kingdom"
237316,"Chile"
237323,"United States"
237324,"United States"
237325,"United States"
237329,"United States"
237332,"United States"
237333,"Panama"
237334,"United States"
237336,"Chile"
237337,"United States"
237338,"United States"
237348,"Russia"
237354,"United States"
237355,"Czech Republic"
237356,"Chile"
237362,"Italy"
237365,"Thailand"
237366,"Costa Rica"
237371,"Russia"
237372,"Costa Rica"
237377,"United Kingdom"
237385,"India"
237392,"France"
237400,"Australia"
237403,"Australia"
237414,"India"
237415,"Brazil"
237422,"Switzerland"
237425,"Canada"
237426,"United States"
237429,"United States"
237432,"South Africa"
237436,"United States"
237449,"United States"
237450,"Austria"
237451,"United States"
237453,"United States"
237459,"South Korea"
237461,"United Kingdom"
237462,"The Bahamas"
237466,"United States"
237471,"United States"
237483,"Lithuania"
237485,"United States"
237486,"Denmark"
237490,"Mexico"
237491,"United States"
237493,"United States"
237498,"United States"
237506,"United States"
237508,"Spain"
237509,"Spain"
237514,"United Kingdom"
237520,"United States"
237523,"United States"
237525,"United States"
237538,"United States"
237539,"Lithuania"
237569,"Mexico"
237571,"United States"
237572,"United Kingdom"
237573,"Bahrain"
237574,"Ireland"
237576,"United States"
237577,"United States"
237578,"United States"
237591,"Canada"
237596,"United States"
237598,"Chile"
237610,"Australia"
237615,"United States"
237623,"United States"
237625,"Australia"
237626,"United States"
237631,"United States"
237635,"United States"
237637,"United States"
237639,"New Zealand"
237645,"Philippines"
237650,"United States"
237652,"Germany"
237654,"United Kingdom"
237666,"United States"
237668,"United Kingdom"
237676,"Germany"
237681,"Sweden"
237682,"Singapore"
237684,"China"
237686,"Hong Kong"
237695,"Australia"
237699,"Spain"
237705,"United States"
237712,"Hungary"
237713,"United States"
237723,"United States"
237729,"United States"
237751,"Italy"
237757,"Italy"
237760,"United States"
237761,"United States"
237763,"United States"
237772,"United States"
237773,"United States"
237775,"Canada"
237777,"United States"
237782,"United States"
237783,"Germany"
237785,"United States"
237792,"United States"
237793,"Canada"
237798,"United States"
237803,"Sweden"
237806,"United States"
237810,"United Kingdom"
237812,"Germany"
237816,"Mexico"
237818,"United States"
237825,"United States"
237827,"Mexico"
237835,"United States"
237837,"United States"
237840,"United States"
237844,"Malaysia"
237847,"United States"
237850,"United States"
237851,"United States"
237854,"Taiwan"
237855,"United States"
237860,"Chile"
237865,"Sweden"
237866,"Australia"
237869,"United States"
237875,"Mexico"
237876,"Germany"
237879,"Germany"
237880,"Luxembourg"
237888,"Iceland"
237891,"Germany"
237894,"United Kingdom"
237895,"Australia"
237896,"Australia"
237897,"Germany"
237900,"United States"
237905,"Australia"
237908,"Slovakia"
237909,"United States"
237910,"Germany"
237911,"Australia"
237918,"Vietnam"
237927,"China"
237930,"Germany"
237937,"Spain"
237938,"United States"
237944,"United States"
237947,"United States"
237953,"Germany"
237954,"Hong Kong"
237955,"France"
237956,"Brazil"
237958,"Russia"
237960,"Uruguay"
237962,"Canada"
237963,"United Kingdom"
237965,"Brazil"
237967,"United States"
237979,"United Kingdom"
237983,"United States"
237984,"United Kingdom"
