"user_id","nativeLang"
237085,"Spanish"
237086,"Abkhaz"
237089,"English"
237104,"English"
237105,"English"
237106,"English"
237113,"English"
237114,"English"
237117,"English"
237120,"Spanish"
237125,"English"
237127,"Vietnamese"
237135,"Spanish"
237139,"Spanish"
237145,"Polish"
237156,"English"
237159,"English"
237184,"German"
237186,"English"
237187,"English"
237195,"Urdu"
237196,"English"
237201,"English"
237202,"Hebrew"
237204,"Russian"
237220,"English"
237227,"English"
237230,"English"
237232,"English"
237238,"English"
237240,"Swedish"
237243,"English"
237251,"French"
237257,"English"
237259,"Danish"
237263,"Portuguese"
237265,"English"
237270,"English"
237271,"Croatian"
237272,"French"
237286,"Italian"
237288,"Spanish"
237290,"Italian"
237292,"English"
237296,"Italian"
237302,"English"
237303,"English"
237306,"English"
237310,"Russian"
237311,"English"
237312,"Farsi"
237315,"French"
237316,"Spanish"
237323,"English"
237324,"English"
237325,"English"
237329,"English"
237332,"English"
237333,"Spanish"
237334,"English"
237336,"Spanish"
237337,"English"
237338,"English"
237348,"Russian"
237354,"Arabic"
237355,"English"
237356,"Spanish"
237362,"Italian"
237365,"Thai"
237366,"Spanish"
237371,"Russian"
237372,"Spanish"
237377,"English"
237385,"Hindi"
237392,"French"
237400,"Turkish"
237403,"English"
237414,"Hindi"
237415,"Portuguese"
237422,"English"
237425,"English"
237426,"English"
237429,"English"
237432,"English"
237436,"English"
237449,"English"
237450,"English"
237451,"English"
237453,"English"
237459,"Korean"
237461,"English"
237462,"Apache"
237466,"English"
237471,"English"
237483,"Lithuanian"
237485,"English"
237486,"Danish"
237490,"Spanish"
237491,"English"
237493,"English"
237498,"Telugu"
237506,"English"
237508,"Spanish"
237509,"Spanish"
237514,"English"
237520,"English"
237523,"English"
237525,"English"
237538,"English"
237539,"Lithuanian"
237569,"Other"
237571,"Tamil"
237572,"Polish"
237573,"English"
237574,"English"
237576,"Tamil"
237577,"English"
237578,"English"
237591,"French"
237596,"English"
237598,"Spanish"
237610,"English"
237615,"English"
237623,"English"
237625,"English"
237626,"English"
237631,"English"
237635,"English"
237637,"Japanese"
237639,"English"
237645,"Cebuano"
237650,"Spanish"
237652,"German"
237654,"English"
237666,"English"
237668,"English"
237676,"German"
237681,"Swedish"
237682,"English"
237684,"Chinese/Mandarin"
237686,"Chinese/Cantonese/Yue"
237695,"English"
237699,"Spanish"
237705,"English"
237712,"English"
237713,"English"
237723,"English"
237729,"English"
237751,"Italian"
237757,"Italian"
237760,"English"
237761,"English"
237763,"English"
237772,"English"
237773,"English"
237775,"English"
237777,"English"
237782,"Spanish"
237783,"German"
237785,"English"
237792,"English"
237793,"English"
237798,"English"
237803,"Swedish"
237806,"English"
237810,"English"
237812,"Russian"
237816,"Spanish"
237818,"English"
237825,"English"
237827,"Spanish"
237835,"English"
237837,"English"
237840,"English"
237844,"Malay"
237847,"Chinese/Yue"
237850,"English"
237851,"German"
237854,"Chinese/Taiwanese/Min Nan/Hokkien"
237855,"English"
237860,"Spanish"
237865,"Swedish"
237866,"English"
237869,"English"
237875,"Spanish"
237876,"German"
237879,"German"
237880,"Luxembourgish"
237888,"Icelandic"
237891,"German"
237894,"English"
237895,"English"
237896,"English"
237897,"German"
237900,"English"
237905,"English"
237908,"Slovak"
237909,"English"
237910,"German"
237911,"English"
237918,"Vietnamese"
237927,"Chinese/Cantonese/Yue"
237930,"German"
237937,"Spanish"
237938,"English"
237944,"English"
237947,"English"
237953,"German"
237954,"Chinese/Cantonese/Yue"
237955,"French"
237956,"Portuguese"
237958,"Russian"
237960,"Spanish"
237962,"English"
237963,"English"
237965,"Portuguese"
237967,"English"
237979,"English"
237983,"English"
237984,"English"
237987,"Spanish"
237990,"Spanish"
238000,"Chinese/Mandarin"
238001,"English"
238006,"English"
238010,"Portuguese"
238011,"English"
238015,"English"
238016,"English"
238017,"German"
238019,"Hebrew"
238021,"Chinese/Mandarin"
238026,"English"
238028,"English"
238029,"French"
238031,"English"
238034,"English"
238035,"English"
238039,"English"
238043,"English"
238048,"English"
238056,"English"
238068,"English"
238069,"English"
238071,"English"
238077,"English"
238084,"Spanish"
238090,"Finnish"
238092,"Swedish"
238098,"Dutch"
238105,"Chinese/Mandarin"
238109,"Portuguese"
238114,"Chinese/Mandarin"
238119,"German"
238121,"English"
238122,"English"
238124,"Spanish"
238128,"Spanish"
238129,"English"
238140,"Turkish"
238143,"English"
238144,"Spanish"
238151,"English"
238164,"English"
238167,"English"
238170,"English"
238171,"English"
238173,"Avestan"
238175,"Dutch"
238176,"English"
238188,"Spanish"
238193,"English"
238194,"Lithuanian"
238196,"English"
238200,"English"
238207,"Aklanon"
238208,"Spanish"
238210,"Turkish"
238212,"English"
238213,"English"
238214,"Italian"
238221,"Turkish"
238224,"Czech"
238228,"Turkish"
238234,"Portuguese"
238235,"English"
238238,"Spanish"
238239,"English"
238241,"English"
238246,"Aramaic"
238249,"English"
238250,"English"
238257,"English"
238260,"English"
238270,"Tagalog"
238272,"Greek"
238274,"English"
238275,"Chinese/Mandarin"
238281,"English"
238294,"English"
238295,"English"
238299,"Malayalam"
238301,"Chinese/Mandarin"
238306,"German"
238311,"Turkish"
238313,"English"
238314,"Chinese/Cantonese/Yue"
238316,"Croatian"
238319,"French"
238320,"English"
238323,"English"
238326,"Polish"
238328,"Swedish"
238329,"English"
238333,"English"
238334,"Chinese/Mandarin"
238335,"Other"
238340,"Tagalog"
238341,"Turkish"
238355,"Estonian"
238362,"English"
238367,"English"
238370,"Other"
238376,"German"
238381,"English"
238385,"Ukrainian"
238389,"English"
238402,"English"
238403,"Chinese/Mandarin"
238411,"English"
238415,"English"
238417,"Norwegian"
238421,"English"
238423,"English"
238430,"English"
238431,"English"
238436,"Armenian"
238439,"English"
238446,"English"
238449,"English"
238457,"English"
238458,"English"
238459,"Turkish"
238463,"English"
238464,"Indonesian"
238471,"Tagalog"
238474,"English"
238475,"English"
238490,"English"
238493,"Swedish"
238497,"English"
238498,"Abenaki"
238500,"Malay"
238503,"English"
238513,"Danish"
238519,"Chinese/Mandarin"
238522,"English"
238535,"English"
238537,"Catalan"
238541,"Russian"
238546,"Ukrainian"
238547,"Nepalese"
238550,"Ukrainian"
