"user_id","yrsLessons"
237085,"More than 10 years"
237086,"4-6 years"
237089,"2-4 years"
237104,"2-4 years"
237105,"6-10 years"
237106,"2-4 years"
237114,"6-10 years"
237117,"6-10 years"
237120,"6-10 years"
237125,"6-10 years"
237127,"4-6 years"
237135,"4-6 years"
237156,"More than 10 years"
237186,"4-6 years"
237201,"Less than a year"
237202,"More than 10 years"
237204,"2-4 years"
237220,"4-6 years"
237227,"4-6 years"
237230,"2-4 years"
237232,"More than 10 years"
237238,"6-10 years"
237240,"More than 10 years"
237243,"More than 10 years"
237251,"4-6 years"
237257,"More than 10 years"
237259,"4-6 years"
237265,"More than 10 years"
237272,"More than 10 years"
237288,"4-6 years"
237292,"Less than a year"
237296,"More than 10 years"
237302,"More than 10 years"
237306,"More than 10 years"
237311,"2-4 years"
237312,"6-10 years"
237315,"More than 10 years"
237316,"6-10 years"
237323,"More than 10 years"
237324,"4-6 years"
237325,"2-4 years"
237329,"6-10 years"
237332,"4-6 years"
237333,"1-2 years"
237336,"4-6 years"
237337,"Less than a year"
237338,"4-6 years"
237355,"2-4 years"
237356,"2-4 years"
237365,"Less than a year"
237377,"6-10 years"
237385,"4-6 years"
237392,"4-6 years"
237403,"4-6 years"
237422,"More than 10 years"
237425,"More than 10 years"
237426,"More than 10 years"
237429,"6-10 years"
237436,"6-10 years"
237453,"2-4 years"
237459,"1-2 years"
237461,"2-4 years"
237466,"More than 10 years"
237471,"6-10 years"
237483,"More than 10 years"
237485,"6-10 years"
237486,"More than 10 years"
237490,"Less than a year"
237491,"6-10 years"
237493,"6-10 years"
237506,"2-4 years"
237508,"6-10 years"
237509,"6-10 years"
237514,"Less than a year"
237520,"1-2 years"
237525,"Less than a year"
237538,"6-10 years"
237539,"1-2 years"
237569,"More than 10 years"
237573,"4-6 years"
237574,"6-10 years"
237576,"4-6 years"
237578,"2-4 years"
237596,"6-10 years"
237615,"4-6 years"
237623,"4-6 years"
237625,"2-4 years"
237626,"More than 10 years"
237631,"More than 10 years"
237635,"More than 10 years"
237637,"2-4 years"
237650,"2-4 years"
237652,"More than 10 years"
237654,"4-6 years"
237666,"6-10 years"
237668,"2-4 years"
237676,"More than 10 years"
237681,"More than 10 years"
237682,"4-6 years"
237684,"4-6 years"
237686,"6-10 years"
237695,"4-6 years"
237699,"2-4 years"
237712,"1-2 years"
237723,"Less than a year"
237729,"Less than a year"
237751,"6-10 years"
237760,"4-6 years"
237761,"Less than a year"
237763,"4-6 years"
237772,"4-6 years"
237773,"4-6 years"
237775,"More than 10 years"
237777,"6-10 years"
237782,"1-2 years"
237783,"1-2 years"
237785,"4-6 years"
237792,"4-6 years"
237793,"2-4 years"
237803,"2-4 years"
237812,"4-6 years"
237818,"Less than a year"
237827,"More than 10 years"
237835,"1-2 years"
237837,"2-4 years"
237840,"2-4 years"
237844,"6-10 years"
237847,"Less than a year"
237851,"4-6 years"
237854,"4-6 years"
237855,"6-10 years"
237860,"1-2 years"
237865,"4-6 years"
237866,"4-6 years"
237879,"6-10 years"
237880,"More than 10 years"
237891,"4-6 years"
237894,"4-6 years"
237897,"More than 10 years"
237900,"2-4 years"
237909,"6-10 years"
237927,"More than 10 years"
237930,"6-10 years"
237937,"2-4 years"
237953,"6-10 years"
237954,"More than 10 years"
237955,"Less than a year"
237963,"Less than a year"
237967,"6-10 years"
237979,"6-10 years"
237984,"6-10 years"
237987,"More than 10 years"
238000,"6-10 years"
238001,"2-4 years"
238015,"More than 10 years"
238016,"2-4 years"
238017,"More than 10 years"
238019,"1-2 years"
238021,"More than 10 years"
238026,"More than 10 years"
238028,"4-6 years"
238029,"6-10 years"
238031,"4-6 years"
238034,"Less than a year"
238035,"4-6 years"
238039,"More than 10 years"
238043,"1-2 years"
238048,"1-2 years"
238056,"More than 10 years"
238069,"6-10 years"
238071,"4-6 years"
238077,"More than 10 years"
238092,"6-10 years"
238105,"6-10 years"
238109,"Less than a year"
238114,"4-6 years"
238119,"More than 10 years"
238121,"6-10 years"
238122,"Less than a year"
238129,"More than 10 years"
238151,"4-6 years"
238164,"More than 10 years"
238167,"1-2 years"
238170,"More than 10 years"
238171,"2-4 years"
238193,"More than 10 years"
238194,"6-10 years"
238196,"4-6 years"
238200,"More than 10 years"
238208,"4-6 years"
238210,"1-2 years"
238212,"4-6 years"
238213,"More than 10 years"
238214,"2-4 years"
238221,"1-2 years"
238228,"Less than a year"
238234,"Less than a year"
238235,"Less than a year"
238238,"1-2 years"
238239,"4-6 years"
238246,"6-10 years"
238249,"6-10 years"
238250,"1-2 years"
238274,"4-6 years"
238275,"1-2 years"
238281,"More than 10 years"
238294,"More than 10 years"
238295,"Less than a year"
238299,"6-10 years"
238301,"6-10 years"
238306,"More than 10 years"
238313,"6-10 years"
238316,"2-4 years"
238319,"More than 10 years"
238323,"2-4 years"
238326,"More than 10 years"
238329,"6-10 years"
238333,"More than 10 years"
238334,"6-10 years"
238341,"1-2 years"
238355,"More than 10 years"
238362,"6-10 years"
238367,"More than 10 years"
238370,"Less than a year"
238376,"1-2 years"
238381,"6-10 years"
238389,"2-4 years"
238402,"4-6 years"
238415,"Less than a year"
238417,"2-4 years"
238421,"4-6 years"
238423,"4-6 years"
238430,"Less than a year"
238431,"6-10 years"
238446,"Less than a year"
238449,"2-4 years"
238457,"6-10 years"
238459,"6-10 years"
238471,"1-2 years"
238474,"4-6 years"
238475,"4-6 years"
238490,"4-6 years"
238493,"6-10 years"
238497,"4-6 years"
238500,"4-6 years"
238503,"4-6 years"
238513,"Less than a year"
238519,"6-10 years"
238522,"More than 10 years"
238535,"6-10 years"
238537,"6-10 years"
238541,"1-2 years"
238546,"4-6 years"
238547,"1-2 years"
