"user_id","nativeLang"
61,"English"
62,"Indonesian"
63,"English"
64,"Farsi"
65,"English"
67,"English"
69,"Chinese/Mandarin"
73,"Spanish"
75,"English"
76,"English"
77,"English"
78,"Armenian"
81,"English"
87,"English"
88,"English"
90,"Chinese/Mandarin"
91,"English"
101,"English"
102,"English"
103,"Chinese/Mandarin"
109,"Spanish"
110,"English"
114,"English"
119,"English"
121,"Chinese/Mandarin"
123,"Chinese/Mandarin"
128,"English"
129,"Chinese/Mandarin"
142,"English"
143,"Chinese/Mandarin"
146,"Chinese/Mandarin"
149,"English"
156,"Vietnamese"
162,"Spanish"
165,"English"
168,"English"
172,"Chinese/Mandarin"
174,"Chinese/Mandarin"
175,"German"
176,"English"
177,"English"
179,"English"
182,"English"
183,"English"
184,"Spanish"
188,"English"
190,"Spanish"
195,"Chinese/Mandarin"
197,"English"
199,"English"
200,"English"
201,"English"
203,"English"
205,"English"
206,"English"
211,"English"
214,"English"
217,"English"
218,"Vietnamese"
219,"Spanish"
221,"English"
223,"English"
225,"English"
227,"Korean"
228,"English"
229,"Korean"
233,"English"
235,"Korean"
239,"English"
241,"English"
243,"Russian"
244,"English"
246,"Chinese/Mandarin"
247,"Spanish"
251,"Indonesian"
256,"Hindi"
257,"Spanish"
259,"English"
261,"Korean"
263,"English"
264,"English"
266,"English"
271,"English"
272,"Spanish"
273,"Spanish"
275,"English"
278,"English"
281,"Armenian"
285,"English"
286,"English"
288,"English"
293,"Chinese/Mandarin"
298,"English"
299,"English"
300,"English"
301,"English"
302,"English"
303,"Farsi"
304,"English"
305,"Chinese/Mandarin"
308,"Chinese/Cantonese/Yue"
310,"English"
311,"English"
313,"English"
314,"English"
315,"English"
321,"English"
322,"English"
323,"English"
325,"English"
326,"English"
329,"English"
331,"Chinese/Mandarin"
335,"Korean"
336,"English"
337,"English"
338,"Chinese/Mandarin"
340,"English"
351,"English"
354,"English"
356,"English"
364,"English"
372,"Turkish"
373,"Arabic"
382,"Tagalog"
394,"French"
395,"Turkish"
397,"German"
402,"English"
409,"Italian"
410,"English"
412,"English"
414,"English"
418,"English"
420,"Farsi"
424,"Hebrew"
426,"English"
427,"Italian"
428,"Flemish"
431,"English"
432,"English"
433,"English"
434,"Russian"
440,"English"
445,"French"
449,"English"
452,"Spanish"
453,"Czech"
454,"Japanese"
455,"English"
459,"English"
461,"Tagalog"
471,"English"
473,"Italian"
477,"English"
478,"English"
481,"English"
483,"English"
486,"English"
488,"Russian"
490,"English"
495,"Portuguese"
497,"English"
499,"Turkish"
501,"English"
503,"Russian"
507,"Turkish"
520,"English"
521,"English"
524,"English"
526,"English"
541,"Hebrew"
542,"Portuguese"
544,"English"
546,"Spanish"
548,"English"
552,"English"
555,"English"
558,"German"
559,"English"
560,"Farsi"
563,"German"
565,"Polish"
566,"English"
570,"German"
571,"German"
572,"English"
573,"Uyghur"
574,"Spanish"
577,"Spanish"
578,"Japanese"
579,"English"
582,"English"
586,"Polish"
