user_id,sameDiff,task1v2,task2v3,task3v4,task4v5,task5v6,task8v9,task9v10,task10v11
60,0.5625,NA,NA,0.55,NA,NA,NA,NA,0.6
61,0.375,NA,NA,0.4,NA,0.45,NA,NA,NA
62,0.5,NA,NA,0.6,NA,NA,NA,NA,0.7
63,0.5,NA,NA,0.65,NA,NA,NA,NA,0.25
64,0.4375,NA,NA,0.7,NA,0.4,NA,NA,NA
65,0.4375,NA,0.45,0.7,NA,NA,NA,NA,NA
66,0.75,NA,NA,1,NA,NA,1,NA,NA
67,0.5,NA,NA,0.6,NA,NA,0.75,NA,NA
69,0.4375,NA,NA,0.3,NA,NA,0.5,NA,NA
73,0.5625,0.55,NA,0.5,NA,NA,NA,NA,NA
74,0.5625,0.55,NA,0.5,NA,NA,NA,NA,NA
75,0.5,NA,NA,0.4,NA,NA,NA,NA,0.5
76,0.6875,NA,NA,0.4,NA,NA,0.45,NA,NA
77,0.5625,NA,NA,0.4,NA,NA,NA,NA,0.45
78,0.6875,NA,NA,0.2,NA,NA,0.55,NA,NA
79,0.3125,NA,NA,0.35,NA,NA,0.65,NA,NA
80,0.3125,NA,NA,0.55,NA,NA,NA,NA,0.5
81,0.625,NA,NA,0.5,NA,0.6,NA,NA,NA
83,0.5,NA,NA,0.5,NA,NA,0.55,NA,NA
84,0.625,NA,NA,0.5,NA,NA,0.5,NA,NA
85,0.4375,NA,NA,0.45,0.35,NA,NA,NA,NA
86,0.5625,0.3,NA,0.5,NA,NA,NA,NA,NA
87,0.4375,NA,0.35,0.3,NA,NA,NA,NA,NA
88,0.375,NA,NA,0.55,0.4,NA,NA,NA,NA
89,0.5625,NA,NA,0.5,NA,NA,NA,0.6,NA
90,0.75,NA,0.7,0.9,NA,NA,NA,NA,NA
91,0.6875,0.55,NA,0.65,NA,NA,NA,NA,NA
92,0.625,NA,NA,0.55,0.3,NA,NA,NA,NA
93,0.3125,0.45,NA,0.75,NA,NA,NA,NA,NA
98,0.6875,NA,0.5,0.25,NA,NA,NA,NA,NA
101,0.625,NA,NA,0.7,NA,NA,0.5,NA,NA
102,0.375,NA,NA,0.45,0.65,NA,NA,NA,NA
103,0.5625,NA,NA,0.65,NA,0.7,NA,NA,NA
109,0.3125,NA,NA,0.4,NA,NA,0.5,NA,NA
110,0.5625,NA,NA,0.45,NA,NA,0.65,NA,NA
113,0.5625,NA,NA,0.45,NA,0.55,NA,NA,NA
114,0.5,NA,0.75,0.25,NA,NA,NA,NA,NA
115,0.75,NA,0.45,0.35,NA,NA,NA,NA,NA
116,0.375,NA,NA,0.5,NA,NA,NA,0.75,NA
119,0.25,NA,NA,0.65,NA,0.4,NA,NA,NA
121,0.5,NA,NA,0.5,0.25,NA,NA,NA,NA
123,0.5625,NA,NA,0.5,NA,0.5,NA,NA,NA
127,0.5,NA,NA,0.65,0.6,NA,NA,NA,NA
128,0.6875,NA,0.55,0.45,NA,NA,NA,NA,NA
129,0.8125,NA,NA,0.65,NA,NA,NA,NA,0.95
135,0.75,NA,0.35,0.6,NA,NA,NA,NA,NA
142,0.5625,NA,NA,0.5,0.65,NA,NA,NA,NA
143,0.9375,NA,NA,0.95,1,NA,NA,NA,NA
144,0.5,NA,NA,0.6,NA,NA,NA,0.4,NA
146,0.6875,NA,NA,0.5,1,NA,NA,NA,NA
149,0.6875,0.65,NA,0.7,NA,NA,NA,NA,NA
150,0.5625,NA,NA,0.4,NA,0.7,NA,NA,NA
155,0.5,NA,NA,0.7,0.7,NA,NA,NA,NA
156,0.5625,NA,NA,0.5,NA,0.45,NA,NA,NA
160,0.75,NA,NA,0.4,0.55,NA,NA,NA,NA
162,0.375,NA,NA,0.7,NA,0.55,NA,NA,NA
165,0.75,NA,0.4,0.6,NA,NA,NA,NA,NA
168,0.4375,NA,0.55,0.45,NA,NA,NA,NA,NA
169,0.8125,NA,NA,0.45,NA,NA,NA,NA,0.45
171,0.5,NA,NA,0.5,NA,0.55,NA,NA,NA
172,0.9375,NA,NA,0.8,NA,0.9,NA,NA,NA
174,0.8125,NA,NA,0.55,NA,NA,0.75,NA,NA
175,0.6875,0.55,NA,0.55,NA,NA,NA,NA,NA
176,0.75,NA,NA,0.9,0.85,NA,NA,NA,NA
177,0.6875,NA,NA,0.4,NA,NA,NA,0.5,NA
179,0.625,NA,NA,0.85,NA,0.9,NA,NA,NA
180,0.75,0.45,NA,0.55,NA,NA,NA,NA,NA
182,0.5625,NA,NA,0.5,NA,NA,NA,0.8,NA
183,0.625,NA,NA,0.75,NA,NA,0.6,NA,NA
184,0.375,NA,NA,0.45,NA,NA,0.35,NA,NA
187,0.75,NA,NA,0.6,NA,NA,0.55,NA,NA
188,0.9375,NA,NA,0.9,NA,NA,NA,0.65,NA
189,0.6875,NA,NA,0.65,NA,0.45,NA,NA,NA
190,0.6875,0.45,NA,0.4,NA,NA,NA,NA,NA
