"user_id","yrsLessons"
62,"More than 10 years"
63,"Less than a year"
65,"1-2 years"
67,"1-2 years"
73,"More than 10 years"
75,"Less than a year"
77,"4-6 years"
78,"Less than a year"
81,"Less than a year"
87,"Less than a year"
90,"6-10 years"
91,"1-2 years"
102,"4-6 years"
103,"6-10 years"
128,"More than 10 years"
129,"6-10 years"
143,"4-6 years"
146,"4-6 years"
149,"4-6 years"
156,"2-4 years"
165,"4-6 years"
172,"More than 10 years"
174,"6-10 years"
175,"4-6 years"
176,"6-10 years"
179,"6-10 years"
182,"1-2 years"
183,"4-6 years"
197,"4-6 years"
200,"6-10 years"
205,"2-4 years"
206,"More than 10 years"
211,"More than 10 years"
214,"Less than a year"
217,"6-10 years"
218,"2-4 years"
219,"1-2 years"
223,"2-4 years"
225,"4-6 years"
227,"2-4 years"
235,"2-4 years"
239,"6-10 years"
241,"1-2 years"
246,"Less than a year"
247,"Less than a year"
251,"2-4 years"
254,"1-2 years"
255,"4-6 years"
259,"1-2 years"
261,"2-4 years"
263,"6-10 years"
264,"Less than a year"
271,"2-4 years"
273,"2-4 years"
275,"4-6 years"
281,"Less than a year"
285,"6-10 years"
286,"2-4 years"
288,"2-4 years"
293,"6-10 years"
298,"4-6 years"
299,"6-10 years"
300,"4-6 years"
302,"1-2 years"
303,"1-2 years"
304,"4-6 years"
305,"6-10 years"
308,"4-6 years"
313,"Less than a year"
314,"4-6 years"
325,"4-6 years"
326,"4-6 years"
329,"6-10 years"
331,"4-6 years"
337,"6-10 years"
340,"1-2 years"
351,"Less than a year"
354,"6-10 years"
356,"More than 10 years"
364,"4-6 years"
394,"6-10 years"
395,"4-6 years"
402,"4-6 years"
410,"More than 10 years"
412,"4-6 years"
414,"2-4 years"
418,"More than 10 years"
420,"2-4 years"
424,"6-10 years"
426,"2-4 years"
427,"4-6 years"
428,"6-10 years"
432,"Less than a year"
433,"More than 10 years"
434,"6-10 years"
440,"More than 10 years"
445,"6-10 years"
449,"6-10 years"
453,"More than 10 years"
454,"More than 10 years"
459,"6-10 years"
461,"1-2 years"
471,"2-4 years"
473,"6-10 years"
477,"More than 10 years"
478,"6-10 years"
481,"6-10 years"
483,"4-6 years"
488,"2-4 years"
490,"6-10 years"
495,"More than 10 years"
497,"4-6 years"
499,"Less than a year"
503,"6-10 years"
507,"Less than a year"
521,"6-10 years"
526,"4-6 years"
541,"4-6 years"
542,"Less than a year"
544,"4-6 years"
546,"6-10 years"
